id,Stad,Property type,Region,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score
10681259,Evere,URBAN,BRUSSELS,APARTMENT,375000,residential_sale,2022,2,101,USA_HYPER_EQUIPPED,0,0,1,0,0,2,0,AS_NEW,A
10681361,Evere,0,BRUSSELS,PENTHOUSE,370000,residential_sale,2013,2,100,USA_HYPER_EQUIPPED,1,0,1,0,0,2,0,AS_NEW,B
10676489,Bruxelles,URBAN,BRUSSELS,APARTMENT,279000,residential_sale,2025,1,74,USA_INSTALLED,0,0,1,0,0,4,0,AS_NEW,A
10681697,Liege,RESIDENTIAL,WALLONIE,HOUSE,149000,residential_sale,1899,4,137,INSTALLED,1,0,1,0,110,2,0,GOOD,F
10681258,Uccle,ISOLATED,BRUSSELS,APARTMENT,380000,residential_sale,1965,3,108,INSTALLED,0,0,1,0,0,3,0,TO_BE_DONE_UP,C
10681466,Gent Gentbrugge,0,FLANDERS,HOUSE_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,A
10676493,Bruxelles,ISOLATED,BRUSSELS,APARTMENT,308000,residential_sale,2025,2,82,USA_INSTALLED,0,0,1,0,0,3,0,AS_NEW,A
10676509,Bruxelles,COUNTRY,BRUSSELS,APARTMENT,325000,residential_sale,2025,2,92,HYPER_EQUIPPED,0,0,0,0,0,4,0,AS_NEW,A
10675312,Auderghem,URBAN,BRUSSELS,FLAT_STUDIO,255500,residential_sale,2022,0,46,USA_HYPER_EQUIPPED,0,0,1,0,0,0,0,AS_NEW,A
10681832,Embourg,0,WALLONIE,PENTHOUSE,399000,residential_sale,2010,3,145,INSTALLED,0,1,1,0,0,3,0,GOOD,B
10676494,Bruxelles,ISOLATED,BRUSSELS,PENTHOUSE,326000,residential_sale,2025,2,81,USA_INSTALLED,0,0,1,0,0,3,0,AS_NEW,A
10681459,Nazareth,0,FLANDERS,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10676497,Bruxelles,ISOLATED,BRUSSELS,APARTMENT,340000,residential_sale,2025,1,80,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW,A
10676491,Bruxelles,ISOLATED,BRUSSELS,APARTMENT,372000,residential_sale,2025,2,96,USA_INSTALLED,0,0,1,0,0,4,0,AS_NEW,A
10676492,Bruxelles,ISOLATED,BRUSSELS,APARTMENT,360000,residential_sale,2025,2,99,USA_INSTALLED,0,0,1,0,0,4,0,AS_NEW,A
10678924,Wichelen Serskamp,URBAN,FLANDERS,APARTMENT,195000,residential_sale,2004,2,91,USA_HYPER_EQUIPPED,0,0,1,0,0,3,0,AS_NEW,B
10681410,Woluwe-Saint-Lambert,URBAN,BRUSSELS,APARTMENT,595000,residential_sale,2008,3,120,USA_HYPER_EQUIPPED,0,0,1,0,0,0,0,AS_NEW,C
10679325,Vise,ISOLATED,WALLONIE,HOUSE,229000,residential_sale,1850,3,145,INSTALLED,0,0,1,0,184,3,0,GOOD,C
10676495,Bruxelles,ISOLATED,BRUSSELS,APARTMENT,361000,residential_sale,2025,2,92,HYPER_EQUIPPED,0,0,1,0,0,4,0,AS_NEW,A
10678734,Awans,0,WALLONIE,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10679324,Seraing,RESIDENTIAL,WALLONIE,HOUSE,159000,residential_sale,1920,3,87,INSTALLED,0,0,1,1,145,2,0,JUST_RENOVATED,F
10681830,Embourg,0,WALLONIE,APARTMENT,399000,residential_sale,2010,3,145,INSTALLED,0,1,1,0,0,3,0,GOOD,B
10676490,Bruxelles,URBAN,BRUSSELS,APARTMENT,330000,residential_sale,2025,2,91,USA_INSTALLED,0,0,1,0,0,4,0,AS_NEW,A
10680875,Lier,0,FLANDERS,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10681967,Molenbeek-Saint-Jean,0,BRUSSELS,APARTMENT,275000,residential_sale,0,2,100,INSTALLED,0,0,1,0,0,3,0,0,G
10678728,HARZÉ,0,WALLONIE,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10679009,Geraardsbergen Moerbeke,0,FLANDERS,HOUSE_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10680063,ROTHEUX-RIMIÈRE,0,WALLONIE,BUNGALOW,319000,residential_sale,1979,2,104,INSTALLED,0,1,1,1,543,3,0,JUST_RENOVATED,C
10680773,Gent,0,FLANDERS,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10681961,Diksmuide,0,FLANDERS,HOUSE,329000,residential_sale,0,3,134,INSTALLED,0,0,1,1,995,0,0,GOOD,F
10681963,Hechtel-Eksel,RESIDENTIAL,FLANDERS,HOUSE,341608,residential_sale,0,3,144,0,0,0,0,0,750,4,0,0,0
10681964,Libramont-Chevigny,RESIDENTIAL,WALLONIE,APARTMENT,235000,residential_sale,2023,2,0,INSTALLED,0,0,1,0,0,4,0,AS_NEW,0
10681960,Brugge,0,FLANDERS,HOUSE,460000,residential_sale,0,2,256,INSTALLED,0,0,1,0,155,0,0,GOOD,D
10681957,Puurs-Sint-Amands,0,FLANDERS,HOUSE,495000,residential_sale,1960,4,350,0,0,0,1,1,470,3,0,AS_NEW,C
10681951,Verviers Ensival,ISOLATED,WALLONIE,HOUSE,199000,residential_sale,0,2,104,INSTALLED,0,0,1,0,95,2,0,GOOD,D
10681956,Ixelles,URBAN,BRUSSELS,APARTMENT,465000,residential_sale,2003,2,95,HYPER_EQUIPPED,0,0,1,0,0,2,0,TO_BE_DONE_UP,C
10681949,Ciney,0,WALLONIE,APARTMENT,225000,residential_sale,0,2,103,0,0,0,1,0,0,0,0,GOOD,B
10678683,Diegem,0,FLANDERS,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10600629,Jette,0,BRUSSELS,HOUSE,250000,residential_sale,0,3,110,INSTALLED,0,0,0,1,150,2,0,0,G
10681931,Libramont-Chevigny,RESIDENTIAL,WALLONIE,APARTMENT,255000,residential_sale,2023,2,0,INSTALLED,0,0,1,0,0,4,0,AS_NEW,0
10681933,Gesves,0,WALLONIE,HOUSE,395000,residential_sale,0,5,174,0,0,0,0,1,600,4,0,GOOD,A+
10681954,Peer,RESIDENTIAL,FLANDERS,HOUSE,385700,residential_sale,0,3,170,0,0,0,0,0,798,4,0,0,0
10681934,Gesves,0,WALLONIE,HOUSE,375000,residential_sale,0,4,130,0,0,0,0,1,600,4,0,GOOD,A+
10681946,Libramont-Chevigny,RESIDENTIAL,WALLONIE,APARTMENT,247500,residential_sale,2023,2,0,INSTALLED,0,0,1,0,0,4,0,AS_NEW,0
10681936,Hasselt,RESIDENTIAL,FLANDERS,HOUSE,420275,residential_sale,0,3,154,0,0,0,0,0,564,3,0,0,0
10681932,Oostende,0,FLANDERS,HOUSE,160000,residential_sale,0,1,0,INSTALLED,0,0,0,0,181,0,0,GOOD,F
10681930,Havelange,0,WALLONIE,HOUSE,380000,residential_sale,0,5,360,0,0,1,1,1,2486,4,0,TO_RENOVATE,F
10681929,Chapois,0,WALLONIE,HOUSE,395000,residential_sale,0,4,180,0,0,1,1,1,9906,4,0,GOOD,C
10681945,Ciney,0,WALLONIE,HOUSE,320000,residential_sale,0,4,270,0,0,0,1,1,415,0,0,TO_RESTORE,E
10681928,Barvaux-Condroz,0,WALLONIE,HOUSE,295000,residential_sale,0,4,195,0,0,1,1,0,448,4,0,GOOD,F
10681927,Ciney,0,WALLONIE,APARTMENT,125000,residential_sale,0,3,80,0,0,0,0,1,0,0,0,GOOD,E
10681906,Laeken,RESIDENTIAL,BRUSSELS,APARTMENT,235000,residential_sale,1958,2,90,INSTALLED,0,0,1,0,0,2,0,0,F
10681935,Gesves,0,WALLONIE,HOUSE_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,A+
10681917,Péruwelz,0,WALLONIE,LOFT,145000,residential_sale,0,0,655,0,0,0,0,0,0,3,0,0,0
10681902,Gistel,RESIDENTIAL,FLANDERS,DUPLEX,239500,residential_sale,0,4,0,0,0,0,0,0,0,2,0,JUST_RENOVATED,B
10681898,Libramont-Chevigny,RESIDENTIAL,WALLONIE,APARTMENT,237500,residential_sale,2023,2,0,INSTALLED,0,0,1,0,0,0,0,AS_NEW,0
10681900,Ransart,0,WALLONIE,HOUSE,165000,residential_sale,0,1,0,0,0,0,0,0,0,0,0,0,B
10681904,Het Voor (Vilvoorde),0,FLANDERS,HOUSE,335000,residential_sale,1951,4,120,HYPER_EQUIPPED,0,0,0,0,214,3,0,TO_BE_DONE_UP,E
10679351,Vilvoorde,RESIDENTIAL,FLANDERS,VILLA,430000,residential_sale,1989,3,132,SEMI_EQUIPPED,0,0,1,1,623,3,0,GOOD,F
10678835,Dilbeek,COUNTRY,FLANDERS,HOUSE,529000,residential_sale,1929,4,315,INSTALLED,0,0,1,0,8002,3,0,TO_RENOVATE,F
10680254,La Roche-en-Ardenne,COUNTRY,WALLONIE,VILLA,398000,residential_sale,1991,3,170,HYPER_EQUIPPED,0,0,1,1,1193,4,0,GOOD,D
10679223,Tielt-Winge,0,FLANDERS,HOUSE_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
